domain,var,type,length,label,role,core,codelist_id,order,is_key,to_supp,rule_type,rule_params,depends_on
AE,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
AE,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""AE""}",
AE,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""ae_raw"",""column"":""usubjid""}",
AE,AESEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""AESTDTC"",""AEDECOD""],""ties"":""dense""}",AESTDTC;AEDECOD
AE,AETERM,char,200,Reported Term for the Adverse Event,Topic,Req,,5,N,N,direct_map,"{""dataset"":""ae_raw"",""column"":""aeterm"",""transform"":""toupper""}",
AE,AEDECOD,char,200,Dictionary-Derived Term,Synonym Qualifier,Exp,,6,N,N,direct_map,"{""dataset"":""ae_raw"",""column"":""aedecod"",""transform"":""toupper""}",
AE,AESEV,char,10,Severity/Intensity,Record Qualifier,Exp,C66769,7,N,N,ct_assign,"{""dataset"":""ae_raw"",""column"":""aesev_raw"",""codelist_id"":""C66769"",""unknown_policy"":""warn_and_keep""}",
AE,AESER,char,2,Serious Event,Record Qualifier,Exp,YN,8,N,N,ct_assign,"{""dataset"":""ae_raw"",""column"":""aeser_raw"",""codelist_id"":""YN""}",
AE,AEREL,char,20,Causality,Record Qualifier,Exp,C66770,9,N,N,ct_assign,"{""dataset"":""ae_raw"",""column"":""aerel_raw"",""codelist_id"":""C66770"",""unknown_policy"":""warn_and_keep""}",
AE,AESTDTC,char,20,Start Date/Time of Adverse Event,Timing,Exp,,10,N,N,iso_dtc,"{""date_col"":{""dataset"":""ae_raw"",""column"":""aestdat""},""time_col"":{""dataset"":""ae_raw"",""column"":""aestim""},""partial_allowed"":true}",
AE,AEENDTC,char,20,End Date/Time of Adverse Event,Timing,Exp,,11,N,N,iso_dtc,"{""date_col"":{""dataset"":""ae_raw"",""column"":""aeendat""},""time_col"":{""dataset"":""ae_raw"",""column"":""aeentim""},""partial_allowed"":true}",
AE,AESTDY,num,8,Study Day of Start of Adverse Event,Timing,Exp,,12,N,N,dy,"{""dtc_var"":""AESTDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",AESTDTC
AE,AESSION,char,20,AE Assessment Session,Record Qualifier,Perm,,13,N,Y,direct_map,"{""dataset"":""ae_raw"",""column"":""aession""}",
AE,AETRTEM,char,200,AE Reported Term Modified,Record Qualifier,Perm,,14,N,Y,direct_map,"{""dataset"":""ae_raw"",""column"":""aetrtem""}",
AE,EPOCH,char,20,Epoch,Timing,Perm,,15,N,N,epoch,"{""dtc_var"":""AESTDTC"",""ref_var"":""RFSTDTC""}",AESTDTC
CM,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
CM,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""CM""}",
CM,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""cm_raw"",""column"":""usubjid""}",
CM,CMSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""CMSTDTC"",""CMDECOD""],""ties"":""dense""}",CMSTDTC;CMDECOD
CM,CMTRT,char,200,Reported Name of Drug or Therapy,Topic,Req,,5,N,N,direct_map,"{""dataset"":""cm_raw"",""column"":""cmtrt"",""transform"":""toupper""}",
CM,CMDECOD,char,200,Standardized Medication Name,Synonym Qualifier,Exp,,6,N,N,direct_map,"{""dataset"":""cm_raw"",""column"":""cmdecod"",""transform"":""toupper""}",
CM,CMROUTE,char,40,Route of Administration,Record Qualifier,Exp,ROUTE,7,N,N,ct_assign,"{""dataset"":""cm_raw"",""column"":""cmroute_raw"",""codelist_id"":""ROUTE""}",
CM,CMDOSE,num,8,Dose per Administration,Record Qualifier,Exp,,8,N,N,direct_map,"{""dataset"":""cm_raw"",""column"":""cmdose""}",
CM,CMDOSU,char,20,Dose Units,Variable Qualifier,Exp,UNIT,9,N,N,ct_assign,"{""dataset"":""cm_raw"",""column"":""cmdosu_raw"",""codelist_id"":""UNIT""}",
CM,CMDOSFRQ,char,20,Dosing Frequency per Interval,Record Qualifier,Exp,FREQ,10,N,N,ct_assign,"{""dataset"":""cm_raw"",""column"":""cmdosfrq_raw"",""codelist_id"":""FREQ""}",
CM,CMSTDTC,char,20,Start Date/Time of Medication,Timing,Exp,,11,N,N,iso_dtc,"{""date_col"":{""dataset"":""cm_raw"",""column"":""cmstdat""},""time_col"":null,""partial_allowed"":true}",
CM,CMENDTC,char,20,End Date/Time of Medication,Timing,Exp,,12,N,N,iso_dtc,"{""date_col"":{""dataset"":""cm_raw"",""column"":""cmendat""},""time_col"":null,""partial_allowed"":true}",
CM,CMSTDY,num,8,Study Day of Start of Medication,Timing,Exp,,13,N,N,dy,"{""dtc_var"":""CMSTDTC"",""ref_var"":""RFSTDTC"",""ref_dataset"":""dm_raw"",""ref_column"":""rfstdtc""}",CMSTDTC
CM,EPOCH,char,20,Epoch,Timing,Perm,,14,N,N,epoch,"{""dtc_var"":""CMSTDTC"",""ref_var"":""RFSTDTC""}",CMSTDTC
MH,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
MH,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""MH""}",
MH,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""mh_raw"",""column"":""usubjid""}",
MH,MHSEQ,num,8,Sequence Number,Identifier,Req,,4,Y,N,seq,"{""by"":[""STUDYID"",""USUBJID""],""order_by"":[""MHSTDTC"",""MHDECOD""],""ties"":""dense""}",MHSTDTC;MHDECOD
MH,MHTERM,char,200,Reported Term for the Medical History,Topic,Req,,5,N,N,direct_map,"{""dataset"":""mh_raw"",""column"":""mhterm"",""transform"":""toupper""}",
MH,MHDECOD,char,200,Dictionary-Derived Term,Synonym Qualifier,Exp,,6,N,N,direct_map,"{""dataset"":""mh_raw"",""column"":""mhdecod"",""transform"":""toupper""}",
MH,MHCAT,char,40,Category for Medical History,Grouping Qualifier,Exp,,7,N,N,direct_map,"{""dataset"":""mh_raw"",""column"":""mhcat"",""transform"":""toupper""}",
MH,MHSTDTC,char,20,Start Date/Time of Medical History Event,Timing,Exp,,8,N,N,iso_dtc,"{""date_col"":{""dataset"":""mh_raw"",""column"":""mhstdat""},""time_col"":null,""partial_allowed"":true}",
MH,MHENDTC,char,20,End Date/Time of Medical History Event,Timing,Perm,,9,N,N,iso_dtc,"{""date_col"":{""dataset"":""mh_raw"",""column"":""mhendat""},""time_col"":null,""partial_allowed"":true}",
PR,STUDYID,char,20,Study Identifier,Identifier,Req,,1,Y,N,constant,"{""value"":""STUDY-XYZ""}",
PR,DOMAIN,char,2,Domain Abbreviation,Identifier,Req,,2,Y,N,constant,"{""value"":""PR""}",
PR,USUBJID,char,40,Unique Subject Identifier,Identifier,Req,,3,Y,N,direct_map,"{""dataset"":""pr_raw"",""column"":""usubjid""}",
